t, ñ	wz	
3,955	-4950	
3,96	-5518	
3,965	-5511	
3,97	-4882	
3,975	-3922	
3,98	-2899	
3,985	-2198	
3,99	-2022	
3,995	-2405	
4,0	-3093	
4,005	-4070	
4,01	-4255	
4,015	-3939	
4,02	-3203	
4,025	-2298	
4,03	-1588	
4,035	-1242	
4,04	-1303	
4,045	-1726	
4,05	-2236	
4,055	-2525	
4,06	-2460	
4,065	-2011	
4,07	-1371	
4,075	-716	
4,08	-305	
4,085	-308	
4,09	-603	
4,095	-937	
4,1	-1107	
4,105	-993	
4,11	-627	
4,115	-124	
4,12	394	
4,125	748	
4,13	827	
4,135	653	
4,14	400	
4,145	193	
4,15	194	
4,155	464	
4,16	995	
4,165	1871	
4,17	2234	
4,175	2315	
4,18	2106	
4,185	1732	
4,19	1376	
4,195	1248	
4,2	1436	
4,205	1915	
4,21	2526	
4,215	3097	
4,22	3456	
4,225	3496	
4,23	3249	
4,235	2829	
4,24	2448	
4,245	2270	
4,25	2558	
4,255	3100	
4,26	3789	
4,265	4387	
4,27	4716	
4,275	4716	
4,28	4404	
4,285	3933	
4,29	3467	
4,295	3254	
4,3	3387	
4,305	3840	
4,31	4413	
4,315	5002	
4,32	5365	
4,325	5405	
4,33	4922	
4,335	4448	
4,34	4075	
4,345	3917	
4,35	4068	
4,355	4508	
4,36	5065	
4,365	5548	
4,37	5850	
4,375	5844	
4,38	5553	
4,385	5080	
4,39	4676	
4,395	4459	
4,4	4533	
4,405	4848	
4,41	5483	
4,415	5766	
4,42	5780	
4,425	5542	
4,43	5139	
4,435	4777	
4,44	4540	
4,445	4538	
4,45	4744	
4,455	5072	
4,46	5345	
4,465	5475	
4,47	5365	
4,475	5111	
4,48	4785	
4,485	4506	
4,49	4443	
4,495	4645	
4,5	4951	
4,505	5165	
4,51	5218	
4,515	5003	
4,52	4558	
4,525	4039	
4,53	3644	
4,535	3529	
4,54	3713	
4,545	4092	
4,55	4499	
4,555	4713	
4,56	4602	
4,565	4164	
4,57	3212	
4,575	2700	
4,58	2520	
4,585	2680	
4,59	3133	
4,595	3674	
4,6	4050	
4,605	4070	
4,61	3679	
