t, ñ	wz	
3,545	1856	
3,55	1793	
3,555	1615	
3,56	1452	
3,565	1216	
3,57	1206	
3,575	1228	
3,58	1320	
3,585	1346	
3,59	1357	
3,595	1239	
3,6	1074	
3,605	856	
3,61	651	
3,615	651	
3,62	656	
3,625	774	
3,63	793	
3,635	786	
3,64	636	
3,645	478	
3,65	275	
3,655	107	
3,66	84	
3,665	126	
3,67	214	
3,675	222	
3,68	160	
3,685	13	
3,69	-186	
3,695	-416	
3,7	-582	
3,705	-604	
3,71	-506	
3,715	-421	
3,72	-397	
3,725	-479	
3,73	-655	
3,735	-901	
3,74	-1154	
3,745	-1301	
3,75	-1272	
3,755	-1114	
3,76	-972	
3,765	-884	
3,77	-953	
3,775	-1164	
3,78	-1470	
3,785	-1761	
3,79	-1976	
3,795	-1999	
3,8	-1817	
3,805	-1648	
3,81	-1482	
3,815	-1510	
3,82	-1662	
3,825	-1980	
3,83	-2296	
3,835	-2588	
3,84	-2685	
3,845	-2522	
3,85	-2294	
3,855	-2062	
3,86	-1999	
3,865	-2073	
3,87	-2351	
3,875	-2677	
3,88	-2985	
3,885	-3127	
3,89	-3027	
3,895	-2797	
3,9	-2576	
3,905	-2466	
3,91	-2518	
3,915	-2721	
3,92	-3020	
3,925	-3292	
3,93	-3439	
3,935	-3358	
3,94	-3141	
3,945	-2914	
3,95	-2763	
3,955	-2779	
3,96	-2937	
3,965	-3201	
3,97	-3460	
3,975	-3609	
3,98	-3509	
3,985	-3277	
3,99	-3015	
3,995	-2835	
4,0	-2830	
4,005	-2983	
4,01	-3270	
4,015	-3535	
4,02	-3709	
4,025	-3618	
4,03	-3349	
4,035	-3035	
4,04	-2802	
4,045	-2731	
4,05	-2820	
4,055	-3079	
4,06	-3356	
4,065	-3584	
4,07	-3508	
4,075	-3241	
4,08	-2907	
4,085	-2585	
4,09	-2438	
4,095	-2464	
4,1	-2687	
4,105	-2964	
4,11	-3279	
4,115	-3257	
4,12	-3046	
4,125	-2714	
4,13	-2370	
4,135	-2124	
4,14	-2081	
4,145	-2218	
4,15	-2451	
4,155	-2753	
4,16	-2756	
4,165	-2594	
4,17	-2278	
4,175	-1947	
4,18	-1675	
4,185	-1554	
4,19	-1607	
4,195	-1759	
4,2	-1988	
4,205	-2026	
4,21	-1898	
4,215	-1647	
4,22	-1372	
4,225	-1126	
4,23	-981	
4,235	-988	
4,24	-1105	
4,245	-1218	
4,25	-1296	
4,255	-1187	
4,26	-946	
4,265	-667	
4,27	-406	
4,275	-251	
4,28	-231	
4,285	-303	
4,29	-405	
4,295	-458	
4,3	-334	
4,305	-109	
4,31	165	
4,315	416	
4,32	549	
4,325	583	
4,33	506	
4,335	398	
4,34	348	
4,345	440	
4,35	662	
4,355	922	
4,36	1153	
4,365	1312	
4,37	1373	
4,375	1314	
4,38	1251	
4,385	1186	
4,39	1259	
4,395	1438	
4,4	1665	
4,405	1902	
4,41	2068	
4,415	2156	
4,42	2147	
4,425	2104	
4,43	2030	
4,435	2068	
4,44	2167	
4,445	2324	
4,45	2481	
4,455	2635	
4,46	2714	
4,465	2741	
4,47	2754	
4,475	2756	
4,48	2809	
4,485	2900	
4,49	2996	
4,495	3093	
4,5	3167	
4,505	3215	
4,51	3240	
4,515	3272	
4,52	3321	
4,525	3403	
4,53	3454	
4,535	3528	
4,54	3556	
4,545	3583	
4,55	3541	
4,555	3537	
4,56	3535	
4,565	3608	
4,57	3715	
4,575	3819	
4,58	3893	
4,585	3920	
4,59	3897	
4,595	3829	
4,6	3770	
4,605	3732	
4,61	3796	
4,615	3893	
4,62	3994	
4,625	4071	
4,63	4092	
4,635	4028	
4,64	3917	
4,645	3806	
4,65	3720	
4,655	3724	
4,66	3789	
4,665	3885	
4,67	3944	
4,675	3951	
4,68	3876	
4,685	3748	
4,69	3614	
4,695	3510	
4,7	3468	
4,705	3537	
4,71	3635	
4,715	3671	
4,72	3645	
4,725	3520	
4,73	3365	
4,735	3194	
4,74	3073	
4,745	3043	
4,75	3123	
4,755	3185	
4,76	3216	
4,765	3155	
4,77	2983	
4,775	2780	
4,78	2561	
4,785	2426	
4,79	2374	
4,795	2474	
4,8	2571	
4,805	2621	
4,81	2558	
4,815	2385	
4,82	2147	
4,825	1893	
4,83	1690	
4,835	1600	
4,84	1672	
4,845	1798	
4,85	1865	
4,855	1840	
4,86	1671	
4,865	1392	
4,87	1065	
4,875	808	
4,88	674	
4,885	709	
4,89	846	
4,895	954	
4,9	954	
4,905	810	
4,91	573	
4,915	252	
4,92	-46	
4,925	-242	
4,93	-268	
4,935	-174	
4,94	-59	
4,945	-20	
4,95	-122	
4,955	-344	
4,96	-639	
4,965	-930	
4,97	-1136	
4,975	-1213	
4,98	-1156	
4,985	-1071	
4,99	-1057	
4,995	-1117	
5,0	-1319	
5,005	-1581	
5,01	-1831	
5,015	-2021	
5,02	-2104	
5,025	-2016	
5,03	-1927	
5,035	-1877	
5,04	-1937	
5,045	-2123	
5,05	-2390	
5,055	-2667	
5,06	-2876	
5,065	-2963	
5,07	-2881	
5,075	-2787	
5,08	-2729	
5,085	-2748	
5,09	-2921	
5,095	-3181	
5,1	-3448	
5,105	-3653	
5,11	-3754	
5,115	-3679	
5,12	-3519	
5,125	-3427	
5,13	-3391	
5,135	-3496	
5,14	-3683	
5,145	-3944	
5,15	-4143	
5,155	-4280	
5,16	-4251	
5,165	-4123	
5,17	-4005	
5,175	-3931	
5,18	-3968	
5,185	-4086	
5,19	-4284	
5,195	-4470	
5,2	-4605	
5,205	-4600	
5,21	-4495	
5,215	-4365	
5,22	-4266	
5,225	-4228	
5,23	-4305	
5,235	-4423	
5,24	-4552	
5,245	-4633	
5,25	-4638	
5,255	-4547	
5,26	-4422	
5,265	-4328	
5,27	-4285	
5,275	-4316	
5,28	-4388	
5,285	-4482	
5,29	-4542	
5,295	-4508	
5,3	-4412	
5,305	-4311	
5,31	-4209	
5,315	-4159	
5,32	-4153	
5,325	-4189	
5,33	-4225	
5,335	-4223	
5,34	-4123	
5,345	-4006	
5,35	-3860	
5,355	-3726	
5,36	-3673	
5,365	-3639	
5,37	-3658	
5,375	-3680	
5,38	-3697	
5,385	-3572	
5,39	-3439	
5,395	-3288	
5,4	-3129	
5,405	-3037	
5,41	-2993	
5,415	-2987	
5,42	-2973	
5,425	-2952	
5,43	-2801	
5,435	-2644	
5,44	-2469	
5,445	-2316	
5,45	-2207	
5,455	-2148	
5,46	-2094	
5,465	-2049	
5,47	-1982	
5,475	-1809	
5,48	-1705	
5,485	-1579	
5,49	-1471	
5,495	-1372	
5,5	-1277	
5,505	-1182	
5,51	-1066	
5,515	-955	
5,52	-780	
5,525	-659	
5,53	-558	
5,535	-470	
5,54	-384	
5,545	-296	
5,55	-202	
5,555	-66	
5,56	89	
5,565	352	
5,57	496	
5,575	608	
5,58	691	
5,585	730	
5,59	743	
5,595	818	
5,6	940	
5,605	1095	
5,61	1276	
5,615	1579	
5,62	1687	
5,625	1751	
5,63	1783	
5,635	1796	
5,64	1809	
5,645	1901	
5,65	2069	
5,655	2261	
5,66	2572	
5,665	2749	
5,67	2814	
5,675	2841	
5,68	2815	
5,685	2814	
5,69	2842	
5,695	2949	
5,7	3111	
5,705	3390	
5,71	3535	
5,715	3619	
5,72	3651	
5,725	3634	
5,73	3616	
5,735	3619	
5,74	3714	
5,745	3837	
5,75	4092	
5,755	4236	
5,76	4313	
5,765	4343	
5,77	4308	
5,775	4277	
5,78	4278	
5,785	4354	
5,79	4460	
5,795	4688	
5,8	4796	
5,805	4840	
5,81	4810	
5,815	4736	
5,82	4644	
5,825	4609	
5,83	4647	
5,835	4740	
5,84	4945	
5,845	5051	
5,85	5084	
5,855	5028	
5,86	4927	
5,865	4801	
5,87	4731	
5,875	4738	
5,88	4810	
5,885	5044	
5,89	5159	
5,895	5171	
5,9	5111	
5,905	4960	
5,91	4767	
5,915	4591	
5,92	4527	
5,925	4562	
5,93	4704	
5,935	4820	
5,94	4867	
5,945	4823	
5,95	4674	
5,955	4480	
5,96	4306	
5,965	4183	
5,97	4134	
5,975	4233	
5,98	4307	
5,985	4337	
5,99	4296	
5,995	4153	
6,0	3959	
6,005	3763	
6,01	3601	
6,015	3531	
6,02	3526	
6,025	3574	
6,03	3584	
6,035	3518	
6,04	3364	
6,045	3168	
6,05	2960	
6,055	2776	
6,06	2658	
6,065	2628	
6,07	2630	
6,075	2620	
6,08	2559	
6,085	2411	
6,09	2216	
6,095	2002	
6,1	1832	
6,105	1709	
6,11	1673	
6,115	1659	
6,12	1627	
6,125	1521	
6,13	1348	
6,135	1129	
6,14	885	
6,145	681	
6,15	553	
6,155	509	
6,16	468	
6,165	442	
6,17	375	
6,175	211	
6,18	-9	
6,185	-218	
6,19	-417	
6,195	-584	
6,2	-664	
6,205	-697	
6,21	-716	
6,215	-791	
6,22	-918	
6,225	-1100	
6,23	-1326	
6,235	-1540	
6,24	-1710	
6,245	-1826	
6,25	-1897	
6,255	-1926	
6,26	-1986	
6,265	-2081	
6,27	-2227	
6,275	-2429	
6,28	-2609	
6,285	-2768	
6,29	-2876	
6,295	-2937	
6,3	-2984	
6,305	-3028	
6,31	-3115	
6,315	-3256	
6,32	-3394	
6,325	-3529	
6,33	-3647	
6,335	-3734	
6,34	-3831	
6,345	-3878	
6,35	-3962	
6,355	-4054	
6,36	-4168	
6,365	-4277	
6,37	-4410	
6,375	-4476	
6,38	-4533	
6,385	-4567	
6,39	-4591	
6,395	-4625	
6,4	-4693	
6,405	-4775	
6,41	-4873	
6,415	-4956	
6,42	-5000	
6,425	-5014	
6,43	-5017	
6,435	-4997	
6,44	-5043	
6,445	-5092	
6,45	-5170	
6,455	-5256	
6,46	-5342	
6,465	-5367	
6,47	-5363	
6,475	-5358	
6,48	-5291	
6,485	-5268	
6,49	-5288	
6,495	-5310	
6,5	-5340	
6,505	-5364	
6,51	-5376	
6,515	-5344	
6,52	-5303	
6,525	-5212	
6,53	-5168	
6,535	-5140	
6,54	-5137	
6,545	-5129	
6,55	-5113	
6,555	-5085	
6,56	-5030	
6,565	-4974	
6,57	-4901	
6,575	-4875	
6,58	-4861	
6,585	-4830	
6,59	-4794	
6,595	-4732	
6,6	-4633	
6,605	-4511	
6,61	-4405	
6,615	-4269	
6,62	-4207	
6,625	-4190	
6,63	-4152	
6,635	-4126	
6,64	-4046	
6,645	-3931	
6,65	-3771	
6,655	-3620	
6,66	-3421	
6,665	-3347	
6,67	-3304	
6,675	-3287	
6,68	-3242	
6,685	-3166	
6,69	-3053	
6,695	-2879	
6,7	-2688	
6,705	-2421	
6,71	-2298	
6,715	-2206	
6,72	-2143	
6,725	-2086	
6,73	-2006	
6,735	-1879	
6,74	-1728	
6,745	-1558	
6,75	-1300	
6,755	-1166	
6,76	-1065	
6,765	-991	
6,77	-893	
6,775	-790	
6,78	-661	
6,785	-503	
6,79	-350	
6,795	-183	
6,8	-125	
6,805	-54	
6,81	37	
6,815	188	
6,82	383	
6,825	651	
6,83	907	
6,835	1124	
6,84	1276	
6,845	1268	
6,85	1230	
6,855	1210	
6,86	1286	
6,865	1463	
6,87	1731	
6,875	2050	
6,88	2328	
6,885	2554	
6,89	2586	
6,895	2507	
6,9	2427	
6,905	2423	
6,91	2523	
6,915	2724	
6,92	3021	
6,925	3331	
6,93	3575	
6,935	3762	
6,94	3699	
6,945	3614	
6,95	3535	
6,955	3530	
6,96	3623	
6,965	3861	
6,97	4144	
6,975	4408	
6,98	4648	
6,985	4658	
6,99	4577	
6,995	4455	
7,0	4405	
7,005	4440	
7,01	4565	
7,015	4779	
7,02	5030	
7,025	5272	
7,03	5299	
7,035	5242	
7,04	5147	
7,045	5056	
7,05	5029	
7,055	5114	
7,06	5299	
7,065	5474	
7,07	5657	
7,075	5660	
7,08	5564	
7,085	5417	
7,09	5323	
7,095	5287	
7,1	5347	
7,105	5491	
7,11	5671	
7,115	5811	
7,12	5774	
7,125	5656	
7,13	5454	
7,135	5306	
7,14	5229	
7,145	5257	
7,15	5376	
7,155	5542	
7,16	5686	
7,165	5658	
7,17	5524	
7,175	5315	
7,18	5100	
7,185	4952	
7,19	4925	
7,195	4963	
7,2	5067	
7,205	5207	
7,21	5188	
7,215	5064	
7,22	4867	
7,225	4631	
7,23	4421	
7,235	4307	
7,24	4286	
7,245	4357	
7,25	4462	
7,255	4477	
7,26	4378	
7,265	4174	
7,27	3941	
7,275	3720	
7,28	3542	
7,285	3445	
7,29	3460	
7,295	3499	
7,3	3490	
7,305	3391	
7,31	3224	
7,315	2978	
7,32	2725	
7,325	2524	
7,33	2404	
7,335	2339	
7,34	2344	
7,345	2329	
7,35	2235	
7,355	2109	
7,36	1889	
7,365	1654	
7,37	1424	
7,375	1273	
7,38	1164	
7,385	1134	
7,39	1097	
7,395	1017	
7,4	894	
7,405	673	
7,41	423	
7,415	210	
7,42	40	
7,425	-89	
7,43	-143	
7,435	-221	
7,44	-285	
7,445	-442	
7,45	-625	
7,455	-842	
7,46	-1058	
7,465	-1237	
7,47	-1359	
7,475	-1452	
7,48	-1525	
7,485	-1571	
7,49	-1675	
7,495	-1812	
7,5	-1992	
7,505	-2204	
7,51	-2401	
7,515	-2565	
7,52	-2674	
7,525	-2753	
7,53	-2819	
7,535	-2881	
7,54	-2982	
7,545	-3138	
7,55	-3313	
7,555	-3467	
7,56	-3610	
7,565	-3726	
7,57	-3821	
7,575	-3864	
7,58	-3907	
7,585	-3989	
7,59	-4094	
7,595	-4215	
7,6	-4366	
7,605	-4506	
7,61	-4618	
7,615	-4720	
7,62	-4763	
7,625	-4781	
7,63	-4827	
7,635	-4876	
7,64	-4951	
7,645	-5046	
7,65	-5150	
7,655	-5236	
7,66	-5337	
7,665	-5380	
7,67	-5397	
7,675	-5410	
7,68	-5427	
7,685	-5445	
7,69	-5467	
7,695	-5503	
7,7	-5571	
7,705	-5638	
7,71	-5656	
7,715	-5692	
7,72	-5679	
7,725	-5649	
7,73	-5641	
7,735	-5640	
7,74	-5636	
7,745	-5663	
7,75	-5692	
7,755	-5724	
7,76	-5720	
7,765	-5703	
7,77	-5648	
7,775	-5588	
7,78	-5522	
7,785	-5479	
7,79	-5439	
7,795	-5446	
7,8	-5428	
7,805	-5420	
7,81	-5383	
