t, ñ	wz	
49,115	-1884	
49,12	-2008	
49,125	-2108	
49,13	-2228	
49,135	-2335	
49,14	-2404	
49,145	-2460	
49,15	-2530	
49,155	-2603	
49,16	-2676	
49,165	-2792	
49,17	-2909	
49,175	-2986	
49,18	-3059	
49,185	-3139	
49,19	-3200	
49,195	-3305	
49,2	-3380	
49,205	-3458	
49,21	-3532	
49,215	-3593	
49,22	-3648	
49,225	-3718	
49,23	-3776	
49,235	-3811	
49,24	-3844	
49,245	-3885	
49,25	-3933	
49,255	-3986	
49,26	-4038	
49,265	-4110	
49,27	-4171	
49,275	-4203	
49,28	-4255	
49,285	-4279	
49,29	-4286	
49,295	-4322	
49,3	-4359	
49,305	-4400	
49,31	-4426	
49,315	-4464	
49,32	-4467	
49,325	-4472	
49,33	-4443	
49,335	-4459	
49,34	-4469	
49,345	-4482	
49,35	-4494	
49,355	-4530	
49,36	-4506	
49,365	-4508	
49,37	-4476	
49,375	-4460	
49,38	-4439	
49,385	-4433	
49,39	-4424	
49,395	-4406	
49,4	-4392	
49,405	-4371	
49,41	-4321	
49,415	-4270	
49,42	-4220	
49,425	-4167	
49,43	-4139	
49,435	-4103	
49,44	-4077	
49,445	-4024	
49,45	-4011	
49,455	-3952	
49,46	-3888	
49,465	-3791	
49,47	-3730	
49,475	-3656	
49,48	-3612	
49,485	-3574	
49,49	-3540	
49,495	-3494	
49,5	-3431	
49,505	-3334	
49,51	-3245	
49,515	-3148	
49,52	-3012	
49,525	-2942	
49,53	-2877	
49,535	-2813	
49,54	-2737	
49,545	-2663	
49,55	-2549	
49,555	-2460	
49,56	-2361	
49,565	-2258	
49,57	-2162	
49,575	-2087	
49,58	-2010	
49,585	-1914	
49,59	-1834	
49,595	-1742	
49,6	-1604	
49,605	-1499	
49,61	-1387	
49,615	-1286	
49,62	-1171	
49,625	-1060	
49,63	-985	
49,635	-887	
49,64	-796	
49,645	-695	
49,65	-579	
49,655	-450	
49,66	-340	
49,665	-228	
49,67	-128	
49,675	-36	
49,68	124	
49,685	257	
49,69	354	
49,695	466	
49,7	554	
49,705	649	
49,71	722	
49,715	815	
49,72	926	
49,725	1035	
49,73	1141	
49,735	1284	
49,74	1389	
49,745	1494	
49,75	1578	
49,755	1659	
49,76	1738	
49,765	1865	
49,77	1971	
49,775	2085	
